CustomColumn, Frame, TreatmentSensor, PER-X, PER-Y, LeftSector, RightSector, LeftFlagellumTip-X, LeftFlagellumTip-Y, RightFlagellumTip-X, RightFlagellumTip-Y, LeftFlagellumBase-X, LeftFlagellumBase-Y, RightFlagellumBase-X, RightFlagellumBase-Y, RotationAngle, AntennaSensorWidth, AntennaSensorHeight, AntennaSensorOffset-X, AntennaSensorOffset-Y, AntennaSensorScale-X, AntennaSensorScale-Y
Control-01,89,64,308,174,2,2,264,174,381,187,285,205,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,90,62,308,174,2,2,259,197,378,161,280,213,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,91,63,308,174,2,2,262,221,378,156,270,228,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,92,64,308,174,3,2,257,239,391,171,267,239,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,93,65,308,174,3,3,257,241,414,215,267,241,360,221,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,94,63,308,174,3,3,259,246,419,226,267,233,365,231,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,95,66,308,174,2,3,259,197,422,236,280,213,368,236,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,96,64,308,174,2,3,267,177,422,236,282,208,368,236,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,97,64,308,174,1,3,270,166,422,241,285,200,368,236,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,98,65,308,174,1,4,272,161,419,257,285,195,365,246,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,99,66,308,174,1,4,272,174,414,262,285,202,365,246,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,100,64,308,174,2,4,275,200,417,262,282,210,362,249,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,101,61,308,174,2,4,275,200,419,259,282,210,365,246,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,102,62,308,174,3,3,259,241,396,246,267,236,368,236,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,103,62,308,174,3,3,249,249,419,221,267,244,360,221,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,104,64,308,174,3,2,241,249,393,187,267,244,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,105,61,308,174,3,2,236,249,360,187,267,233,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,106,59,308,174,2,2,226,195,350,179,272,223,347,179,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,107,63,308,174,2,1,246,184,355,141,282,210,337,197,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,108,64,308,174,2,2,239,156,355,153,282,210,342,202,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,109,64,308,174,2,2,239,159,362,177,282,210,350,208,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,110,63,308,174,2,2,223,171,365,200,280,213,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,111,62,308,174,2,2,215,182,360,182,277,215,347,200,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,112,64,308,174,2,2,210,197,350,182,272,221,342,202,-7,258,258,187,107,2.57712741596489,2.57712741596489
